,actor_id,outcoming_neighbors_cnt,incoming_neighbors_cnt,neighbors_cnt,outcoming_tx_cnt,incoming_tx_cnt,incoming_minus_outcoming_tx_cnt,address,class
1,113GSSzrDMyuNRnQsywFZu2s3SWgRpYQup,28.0,99.0,127.0,1.0,1.0,0.0,113GSSzrDMyuNRnQsywFZu2s3SWgRpYQup,2
2,113GUoEqRKEoHWp6KNntbFJMGGECHaeLh9,501.0,0.0,501.0,1.0,0.0,-1.0,113GUoEqRKEoHWp6KNntbFJMGGECHaeLh9,2
3,113Vw6u96sbkGAfaXxEbX6Q9crirNwgHNm,250.0,0.0,250.0,1.0,0.0,-1.0,113Vw6u96sbkGAfaXxEbX6Q9crirNwgHNm,2
6,114KYKXZVoEt2kmJrLhCHfdfcKiVdjUEg9,501.0,0.0,501.0,1.0,0.0,-1.0,114KYKXZVoEt2kmJrLhCHfdfcKiVdjUEg9,2
16,124nNorwbWiEexeAHJJ9kJiYHqMzqwYeQh,0.0,103.0,103.0,0.0,1.0,1.0,124nNorwbWiEexeAHJJ9kJiYHqMzqwYeQh,2
24,129EZEk9iu73adHScv3Qu4QibtsTAWSrus,997.0,0.0,997.0,2.0,0.0,-2.0,129EZEk9iu73adHScv3Qu4QibtsTAWSrus,2
25,129aY6pnV8w1ika4HNn1WeQoyoodukpABD,249.0,0.0,249.0,1.0,0.0,-1.0,129aY6pnV8w1ika4HNn1WeQoyoodukpABD,2
26,129uFG4cdkPRpv1veDyva6KAhLkjSLudky,0.0,146.0,146.0,0.0,1.0,1.0,129uFG4cdkPRpv1veDyva6KAhLkjSLudky,2
29,12CRDwtCNnSPEiGYiiE6vJtFUNHKa8CTw4,250.0,0.0,250.0,1.0,0.0,-1.0,12CRDwtCNnSPEiGYiiE6vJtFUNHKa8CTw4,2
30,12Cu9Kty9Qe66SygZ5WXJjowAee2rLaLk5,250.0,0.0,250.0,1.0,0.0,-1.0,12Cu9Kty9Qe66SygZ5WXJjowAee2rLaLk5,2
34,12E3kyKvco5WLoppi92tV5xkecYz1tVrCh,357.0,0.0,357.0,1.0,0.0,-1.0,12E3kyKvco5WLoppi92tV5xkecYz1tVrCh,2
35,12EHFSftT7k77UMbYt3sQjZpSyKditT4ST,2.0,150.0,152.0,1.0,1.0,0.0,12EHFSftT7k77UMbYt3sQjZpSyKditT4ST,2
38,12FaA8rGuVBmJu6xx6kAeHAK8EgF8pEXpH,18.0,101.0,119.0,3.0,2.0,-1.0,12FaA8rGuVBmJu6xx6kAeHAK8EgF8pEXpH,2
39,12FfMCP6VYz5UGXezJ4vtTnY93n353JaDD,250.0,0.0,250.0,1.0,0.0,-1.0,12FfMCP6VYz5UGXezJ4vtTnY93n353JaDD,2
40,12FfZaS2eQoqzd2FpvECXDjTRiqbF1Pc6w,501.0,0.0,501.0,1.0,0.0,-1.0,12FfZaS2eQoqzd2FpvECXDjTRiqbF1Pc6w,2
44,12JVFBzphQGUpmSArrHS5QzRnkRQp9fsXn,0.0,200.0,200.0,0.0,2.0,2.0,12JVFBzphQGUpmSArrHS5QzRnkRQp9fsXn,2
45,12JZu9hYzUkAUkxgHTrrF9uSsjcHtAVtLS,501.0,0.0,501.0,1.0,0.0,-1.0,12JZu9hYzUkAUkxgHTrrF9uSsjcHtAVtLS,2
48,12KbymZKWbHcvrRU2bdxtdVuEHgG8qWdsT,60.0,50.0,110.0,1.0,1.0,0.0,12KbymZKWbHcvrRU2bdxtdVuEHgG8qWdsT,2
